source,year,lat,lon,num_visits,mean_count,median_count,presence
Salomon_Dive_HaidaGwaii,2011,52.61573,-131.4346,1,5,5,1
Salomon_Dive_HaidaGwaii,2011,52.71016,-131.443,1,4,4,1
Salomon_Dive_HaidaGwaii,2011,52.87565,-131.6719,1,5,5,1
Salomon_Dive_HaidaGwaii,2011,52.89826,-131.6259,1,3,3,1
Salomon_Dive_HaidaGwaii,2011,52.92583,-131.6174,1,5,5,1
Watson_Dive_Vanls,2011,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2011,48.85853,-125.1602,1,2,2,1
Watson_Dive_Vanls,2011,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2011,49.99795,-127.38,1,3,3,1
Watson_Dive_Vanls,2011,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2011,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2011,50.0715,-127.5507,1,1,1,1
cote,2012,49.316,-122.923,1,NA,NA,1
cote,2012,49.33,-122.916,1,35,35,1
cote,2012,49.429,-122.865,1,3,3,1
Salomon_Dive_HaidaGwaii,2012,52.09867,-131.1257,1,11,11,1
Salomon_Dive_HaidaGwaii,2012,52.11907,-131.1776,1,2,2,1
Salomon_Dive_HaidaGwaii,2012,52.17992,-131.0128,1,4,4,1
Salomon_Dive_HaidaGwaii,2012,52.61573,-131.4346,1,8,8,1
Salomon_Dive_HaidaGwaii,2012,52.64266,-131.4391,1,5,5,1
Salomon_Dive_HaidaGwaii,2012,52.71016,-131.443,1,7,7,1
Salomon_Dive_HaidaGwaii,2012,52.87565,-131.6719,1,1,1,1
Salomon_Dive_HaidaGwaii,2012,52.89826,-131.6259,1,7,7,1
Salomon_Dive_HaidaGwaii,2012,52.92583,-131.6174,1,2,2,1
Watson_Dive_Vanls,2012,48.82675,-125.1986,1,1,1,1
Watson_Dive_Vanls,2012,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2012,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2012,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2012,50.0016,-127.2892,1,3,3,1
Watson_Dive_Vanls,2012,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2012,50.0715,-127.5507,1,1,1,1
cote,2013,49.316,-122.923,1,0,0,0
cote,2013,49.326,-122.914,3,0,0,1
cote,2013,49.334,-122.906,1,NA,NA,1
cote,2013,49.379,-122.879,2,NA,NA,1
Hakai_Dive_BC,2013,51.41033333,-127.9195333,1,29,29,1
Hakai_Dive_BC,2013,51.64848333,-128.15595,1,14,14,1
Hakai_Dive_BC,2013,51.68025,-128.12565,1,4,4,1
Hakai_Dive_BC,2013,51.69266667,-128.1164667,1,15,15,1
Hakai_Dive_BC,2013,51.73323333,-127.9959833,1,10,10,1
Hakai_Dive_BC,2013,51.74418333,-128.0713667,1,6,6,1
Hakai_Dive_BC,2013,51.76389667,-128.2138833,1,14,14,1
Hakai_Dive_BC,2013,51.81946667,-128.2341083,1,20,20,1
Hakai_Dive_BC,2013,51.95213334,-128.3234167,1,15,15,1
Hakai_Dive_BC,2013,51.9603,-128.2614333,1,8,8,1
Hakai_Dive_BC,2013,51.961725,-128.3666166,1,30,30,1
Hakai_Dive_BC,2013,51.98368333,-128.2482333,1,8,8,1
Hakai_Dive_BC,2013,52.04471667,-128.4000667,1,6,6,1
Hakai_Dive_BC,2013,52.05029286,-128.3899595,1,18,18,1
Hakai_Dive_BC,2013,52.0967,-128.4410083,1,11,11,1
MARINe_CitSciDive_AK-BC,2013,47.80119,-122.3952,2,14.5,14.5,1
Salomon_Dive_HaidaGwaii,2013,52.09867,-131.1257,1,6,6,1
Salomon_Dive_HaidaGwaii,2013,52.11907,-131.1776,1,4,4,1
Salomon_Dive_HaidaGwaii,2013,52.12913,-131.2283,1,20,20,1
Salomon_Dive_HaidaGwaii,2013,52.1442,-131.0467,1,9,9,1
Salomon_Dive_HaidaGwaii,2013,52.17992,-131.0128,1,4,4,1
Salomon_Dive_HaidaGwaii,2013,52.21283,-130.9963,1,27,27,1
Salomon_Dive_HaidaGwaii,2013,52.61573,-131.4346,1,45,45,1
Salomon_Dive_HaidaGwaii,2013,52.64266,-131.4391,1,32,32,1
Salomon_Dive_HaidaGwaii,2013,52.71016,-131.443,1,26,26,1
Salomon_Dive_HaidaGwaii,2013,52.87565,-131.6719,1,25,25,1
Salomon_Dive_HaidaGwaii,2013,52.89826,-131.6259,1,15,15,1
Salomon_Dive_HaidaGwaii,2013,52.92583,-131.6174,1,16,16,1
Watson_Dive_Vanls,2013,48.82675,-125.1986,1,2,2,1
Watson_Dive_Vanls,2013,48.85853,-125.1602,1,1,1,1
Watson_Dive_Vanls,2013,49.98325,-127.2949,1,1,1,1
Watson_Dive_Vanls,2013,49.99795,-127.38,1,1,1,1
Watson_Dive_Vanls,2013,50.0016,-127.2892,1,1,1,1
Watson_Dive_Vanls,2013,50.05427,-127.4478,1,1,1,1
Watson_Dive_Vanls,2013,50.0715,-127.5507,1,1,1,1
cote,2014,48.949,-125.149946,1,11.54,11.54,1
cote,2014,48.949908,-125.149946,1,7.5,7.5,1
cote,2014,49.349,-122.893,1,0,0,0
Hakai_Dive_BC,2014,51.41033333,-127.9195333,1,30,30,1
Hakai_Dive_BC,2014,51.64848333,-128.15595,1,5,5,1
Hakai_Dive_BC,2014,51.650135,-127.8555,1,0,0,0
Hakai_Dive_BC,2014,51.65301,-127.855,1,0,0,0
Hakai_Dive_BC,2014,51.65400398,-128.1226658,1,0,0,0
Hakai_Dive_BC,2014,51.67844423,-128.1204901,1,6,6,1
Hakai_Dive_BC,2014,51.67888847,-128.1259801,1,31,31,1
Hakai_Dive_BC,2014,51.67996,-127.88,1,0,0,0
Hakai_Dive_BC,2014,51.68088378,-127.8780792,1,0,0,0
Hakai_Dive_BC,2014,51.69266667,-128.1164667,1,18,18,1
Hakai_Dive_BC,2014,51.70674167,-128.0608167,1,38,38,1
Hakai_Dive_BC,2014,51.74418333,-128.0713667,1,10,10,1
Hakai_Dive_BC,2014,51.79983554,-128.059226,1,0,0,0
Hakai_Dive_BC,2014,51.80572,-128.258,1,8,8,1
Hakai_Dive_BC,2014,51.809,-128.247,1,2,2,1
Hakai_Dive_BC,2014,51.809,-128.236,1,2,2,1
Hakai_Dive_BC,2014,51.81668667,-128.055,1,0,0,0
Hakai_Dive_BC,2014,51.87484759,-128.1576387,1,0,0,0
Hakai_Dive_BC,2014,51.87856,-128.162,1,0,0,0
Hakai_Dive_BC,2014,51.923848,-128.4593995,1,5,5,1
Hakai_Dive_BC,2014,51.92985,-128.3469416,1,9,9,1
